id,应用名,描述,应用链接PC端,应用链接移动端,ks3store
1,WPS学堂,Office技巧学习平台,https://www.wps.cn/learning,https://www.wps.cn/learning,DD1AFB29M2JiNjJiYjc5NThjYzk5YjcxMTg3ZDk4ZjBkNGVkNWE6a3MzOndvYS1zdGF0aWM=
2,迁移工具,一键迁移个人文档，快速同步个人会员权益,https://edu.wps.cn/operation/relatedAccount?utm_source=promotion_from_edu&amp;chn=woa,https://edu.wps.cn/operation/relatedAccount?utm_source=promotion_from_edu&amp;chn=woa,DD1AFB29ZjdlMzhkOWM4YzRlMDBkZGU5NWE2MjY4Njc3ZDcyMGY6a3MzOndvYS1zdGF0aWM=
3,WPS精品课,一站式数字素养提升平台,https://edu.wps.cn/secondary?id=4ef5e904360745af91296e637b087931&pageSize=50&recommendIndex=10&title=WPS%25E7%25B2%25BE%25E5%2593%2581%25E8%25AF%25BE&type=courseSecondary&urlParams=%5Bobject%20Object%5D,https://edu.wps.cn/secondary?id=4ef5e904360745af91296e637b087931&pageSize=50&recommendIndex=10&title=WPS%25E7%25B2%25BE%25E5%2593%2581%25E8%25AF%25BE&type=courseSecondary&urlParams=%5Bobject%20Object%5D,DD1AFB29MWIyZWVmYWUxYjUwMGM0NjMwMjQ3NjQ5OWQxNTUxODE6a3MzOndvYS1zdGF0aWM=
4,国家中小学智慧教育平台,国家中小学智慧教育平台,https://basic.smartedu.cn/,https://basic.smartedu.cn/,DD1AFB29ZDg4NTJlNzA5YzVjMjcyYTIyMmFjOGIzN2UyZjkwOTY6a3MzOndvYS1zdGF0aWM=
5,学科网,学科网,https://www.zxxk.com/,https://www.zxxk.com/,DD1AFB29YWY0YTVmMzg1YzM1MzEwYzliODk5MWJlYjZmMTUyMmU6a3MzOndvYS1zdGF0aWM=
6,WPS数智教育案例,WPS 365教育版数智教育场景实践案例集锦,https://365.kdocs.cn/wo/sl/v127ffVw,https://365.kdocs.cn/wo/sl/v127ffVw,DD1AFB29YmIwY2ZlMDM2ZGU2MWQzYzNlZmU1ZTBmNTI4MzUzMjE6a3MzOndvYS1zdGF0aWM=
7,WPS学习园地,轻松掌握WPS实用技巧,https://edu.wps.cn/operation/pc/learningHub,https://edu.wps.cn/operation/m/learningHub,DD1AFB29ZDViYzNiZDA5MGJiYjkyMzU0NTQyYjEwNGFkZmI4Y2U6a3MzOndvYS1zdGF0aWM=
8,活动模板,使用多维表模板，一键开展各类活动/赛事,https://365.kdocs.cn/3rd/docer/new/search/dbsheet/900001293?keyword=%E6%B4%BB%E5%8A%A8%E6%A8%A1%E6%9D%BF&from=pc_new_mbshare,https://365.kdocs.cn/3rd/docer/new/search/dbsheet/900001293?keyword=%E6%B4%BB%E5%8A%A8%E6%A8%A1%E6%9D%BF&from=pc_new_mbshare,DD1AFB29ODM1ZmQzMWNiYzg2ZDk2MzcyYTU1MTE5OGU3OGUyOWE6a3MzOndvYS1zdGF0aWM=
9,数字党建,便捷管理组织内党员信息,https://abp.wps.cn/p/wps/enter/AK20240109JNHUBC,https://abp.wps.cn/p/wps/enter/AK20240109JNHUBC,DD1AFB29YmUyNzA4ODE2MmU4NWMzNmZlMzhjMGM2ZmJiN2ZlY2M6a3MzOndvYS1zdGF0aWM=
10,投票,快捷发起管理校内投票,https://edu.wps.cn/form/vote?chn=wps_collaborate_pc_workspace,https://edu.wps.cn/form/vote?chn=wps_collaborate_pc_workspace,DD1AFB29NTBkYWUyNWQ0YmYxZTAxZmZiZTIyYjY0YmU5OThjOWQ6a3MzOndvYS1zdGF0aWM=
11,知情同意书,快捷发起并管理同意书,https://edu.wps.cn/form/informed,https://edu.wps.cn/form/informed,DD1AFB29Zjc0Nzk2ZWU3MTI1YmJlMjZjZWQ0ZjhmNDE2ZGYyZjY6a3MzOndvYS1zdGF0aWM=
12,报名,快捷发起并管理报名活动,https://edu.wps.cn/form/informed,https://edu.wps.cn/form/informed,DD1AFB29MzEwNTYyNjNhMGJhZDQ1MjY2ZmI1MTBkZDc0ODkzMjg6a3MzOndvYS1zdGF0aWM=
13,文件收集,收作业、收文件,https://yunbiz.wps.cn/c/,https://yunbiz.wps.cn/c/,DD1AFB29MDUzOThlZWQwZWE3NThkYTUwMWVmN2YxNmJhOTExNmY6a3MzOndvYS1zdGF0aWM=
14,WPS教学平台,WPS一站式办公技能提升平台，助力数字化办公人才培养,ksoqing://type=ksolaunch&source=vasapp&tag=vasapptag&cmd=UnVuIC9JbnN0YW5jZUlkPVdwc0Nsb3VkU3ZyIHdwc2Nsb3Vkc3ZyaW1wLmRsbCAvcnVuX2FwcCAvYXBwX2lkPXdwc2V4YW0gL3NyYz1wdWJsaWNfZXh0ZXJuYWxCcm93c2Vy&token=a30794428a87774de44a67eb75dca70d,ksoqing://type=ksolaunch&source=vasapp&tag=vasapptag&cmd=UnVuIC9JbnN0YW5jZUlkPVdwc0Nsb3VkU3ZyIHdwc2Nsb3Vkc3ZyaW1wLmRsbCAvcnVuX2FwcCAvYXBwX2lkPXdwc2V4YW0gL3NyYz1wdWJsaWNfZXh0ZXJuYWxCcm93c2Vy&token=a30794428a87774de44a67eb75dca70d,DD1AFB29ZjVkNjllMzc2NzY2ZjhhMTU0OWQ2NzVmNjMyNjk0MDE6a3MzOndvYS1zdGF0aWM=
15,WPS AI实训室,WPS AI实训室,https://ewb.wps.cn/aiTraining/student,https://ewb.wps.cn/aiTraining/student,DD1AFB29ZDliZTZlZjRkMTMwM2MzNmQxN2MwZGViN2QyNWNkMTA6a3MzOndvYS1zdGF0aWM=
16,教研数据,数字教研全流程数据监控,https://ewb.wps.cn/datastat/home?chn=wps_pc_xiezuo_workspace,https://ewb.wps.cn/datastat/home?chn=wps_pc_xiezuo_workspace,DD1AFB29NzA3NjA4NzE1MGIwNjQxYjgyNTlmNjdmMzBiOTQ0ZjU6a3MzOndvYS1zdGF0aWM=
