id,应用名,描述,应用链接PC端,应用链接移动端,ks3store
1,文档迁移工具,一键迁移个人文档，快速同步个人会员权益,https://edu.wps.cn/operation/relatedAccount?utm_source=promotion_from_edu&chn=woa,,DD1AFB29ZDY1MjMwYTY3NWRlYzIyZGM2YjRlMDcwNjhmZGI1MTI6a3MzOndvYS1zdGF0aWM=
2,教研数据,数字教研全流程数据监控,https://ewb.wps.cn/datastat/home?chn=wps_pc_xiezuo_workspace,,DD1AFB29MDA3YmY2YjJlOGQ1MWZhMTg4NGE3ZGYxNmQyYmIzZjA6a3MzOndvYS1zdGF0aWM=
3,教师教学评价,教师教学评价,https://f.wps.cn/ksform/ots/101510,,DD1AFB29MjY3YTY4ZmM5MWM2NzcxMDNkOGNmYzU1ZjJjOGNiOTE6a3MzOndvYS1zdGF0aWM=
4,作品上传及投票,作品上传及投票,https://365.kdocs.cn/3rd/docer/new/dbsheet/900002841/0-0?from=woa_edu_workspace,,DD1AFB29ZDE0ZjQyYjg2YzJlZTVjNWVkOThkNWQ4MDc3ODk1MGM6a3MzOndvYS1zdGF0aWM=
5,活动报名及查询,活动报名及查询,https://365.kdocs.cn/3rd/docer/new/dbsheet/900002792/0-0?from=woa_edu_workspace,,DD1AFB29ZGI4ODM2N2EyNzg4ZDUwOGRkMmJjYzJjOTEyOGRiMDU6a3MzOndvYS1zdGF0aWM=
6,活动筹备及分工,活动筹备及分工,https://365.kdocs.cn/3rd/docer/new/search/dbsheet/900001293?keyword=%E6%B4%BB%E5%8A%A8&from=woa_edu_workspace,,DD1AFB29ODMwNGRlZjdkN2NhZjg5Nzk5NWFlNDgyNTEzNTQ5MzQ6a3MzOndvYS1zdGF0aWM=
7,学生返校信息收集,学生返校信息收集,https://365.kdocs.cn/3rd/docer/new/dbsheet/900002849/0-0?from=woa_edu_workspace,,DD1AFB29NGExZDlhNTBiZTgwNTNmMDMyMWViYWMxNmJlM2VmNWE6a3MzOndvYS1zdGF0aWM=
8,学生假期去向管理,学生假期去向管理,https://365.kdocs.cn/3rd/docer/new/dbsheet/900002848/0-0?from=woa_edu_workspace,,DD1AFB29NmY2MGY3Y2ZhOTE5ODBlNzRlMDI5MWVjOTVjNWVjNmY6a3MzOndvYS1zdGF0aWM=
9,论文文献管理,论文文献管理,https://365.kdocs.cn/3rd/docer/new/dbsheet/900001926/0-0?from=pc_mymbshare,,DD1AFB29MzdhMGI5ZDNkMGFiNmNjMjQ4NmI2OGJmYWI5YWVmZWQ6a3MzOndvYS1zdGF0aWM=
10,教学空间,基于资源协同的一站式数字化教研平台,https://ewb.wps.cn/?chn=wps_pc_xiezuo_workspace,,DD1AFB29OWI2NGNlMjRjNzY5MTJhZDViZWVjNmY3NjlhNWY0OWY6a3MzOndvYS1zdGF0aWM=
