id,应用名,描述,应用链接PC端,应用链接移动端,ks3store,update_avatar
1,AI百宝箱,AI辅助教学、个性化学习、私有知识管理,https://ewb.wps.cn/toolsBox?chn=pc_xiezuo,https://ewb.wps.cn/toolsBox?chn=yd_xiezuo,DD1AFB29NjdkNzA2NmI0N2M3NjRlYmZiMTQ0YmU3NTI0NDI5OTg6a3MzOndvYS1zdGF0aWM=,false
2,实训室·教师端,实训室教师端管理后台,https://kps.wps.cn/admin/login?code=<companyId>,,DD1AFB29YWEzMGU5YjNiYTg0NWFjOWU1OWRlMTNmYzc0ZjJiZTY6a3MzOndvYS1zdGF0aWM=,false
3,学期个人评价,让学期评价更科学高效,https://kdocs.cn/l/cgqdGz3KaGhk,https://kdocs.cn/l/cgqdGz3KaGhk,DD1AFB29ZGU5NzAwN2U1Njc5YTA3NDM0MmMwMmNiMDlkMDRhMzY6a3MzOndvYS1zdGF0aWM=,false
4,教学资源,教师教育资源库,https://ewb.wps.cn/resource?reloadMenuKey=resource_official&identity=TEACHER,,DD1AFB29Njk4ODk3NmFhYThiZWFlY2E2ZmRiOGE2NzI4NDllY2U6a3MzOndvYS1zdGF0aWM=,false
5,AI 搜索,智慧搜索尽在掌握,https://lingxi.wps.cn/search,https://lingxi.wps.cn/search,DD1AFB29ZTRmMjk5NDYwMDIxNGE3MzVhNDE4OTdhNjlmMjUzMTE6a3MzOndvYS1zdGF0aWM=,false
6,AI 阅读,AI阅读,https://lingxi.wps.cn/read,https://lingxi.wps.cn/read,DD1AFB29MDM0Y2JhMzA0YjIzYmMzYzlhMDhmMGRiMWYzNDFlMDA6a3MzOndvYS1zdGF0aWM=,false
7,AI PPT,AI PPT,https://lingxi.wps.cn/ppt,https://lingxi.wps.cn/ppt,DD1AFB29YWQ1OWEwODY2YzlkMmRjNmYzYmVhMDgyOWVlNGJhYjc6a3MzOndvYS1zdGF0aWM=,false
8,AI 写作,AI写作,https://lingxi.wps.cn/creative,https://lingxi.wps.cn/creative,DD1AFB29ZGRlMDc0Mzc2ZGE3Y2M0MmRmMWUxYzUzMTg2ZTVjMTM6a3MzOndvYS1zdGF0aWM=,false
9,家长会签到,家长会签到,https://365.kdocs.cn/3rd/docer/solution/classify/385/398/view/900002829?sourcepage=navigate&from=pc_mymbshare,https://365.kdocs.cn/3rd/docer/solution/classify/385/398/view/900002829?sourcepage=navigate&from=pc_mymbshare,DD1AFB29MTE5MDk2MTVmYmQ3MjkxNjNkZjA5NjM2MjUzMzMyMjg6a3MzOndvYS1zdGF0aWM=,false
10,家访记录档案,家校沟通记录档案,https://365.kdocs.cn/3rd/docer/solution/classify/385/398/view/900002830?sourcepage=navigate&from=pc_mymbshare,https://365.kdocs.cn/3rd/docer/solution/classify/385/398/view/900002830?sourcepage=navigate&from=pc_mymbshare,DD1AFB29Nzc3Y2FjNzUyYTI3YmU5MmRlN2U0ZmM3NmQ0YzNiMjQ6a3MzOndvYS1zdGF0aWM=,false
